SampleID,Kingdom,Phylum,Class,Order,Family,Genus,Species
391311c697f6819e307733451eabf618,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified
84bf86b7f16b5ef5517256909f124a83,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__sp._HMT_257
e7130e276e1bc80a22ecee3f40dbd651,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__catoniae
5acbb07058dd3840d3b6c530a66a86a1,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__unclassified
5168acf1f755caf45c629bd6d34d20b7,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__unclassified
1a7915b599545b805c38018e39269330,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__sp._HMT_475
db23cb9a125cb61be00aaa2c80d9237a,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__unclassified
f3efa86a08b615e31ef270702e7cf8e8,k__Bacteria,p__Bacteroidetes,c__Bacteroidetes_[C-1],o__Bacteroidetes_[O-1],f__Bacteroidetes_[F-1],g__Bacteroidetes_[G-5],s__[G-5]_bacterium_HMT_505
d9a6346636cf3aa37f1d07d3807c2e69,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__sputigena
4026df68b7bfe48d2cef12af8e0f2744,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified
52e18f1bb6c24c3ff1d634d0dc56acb7,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Gemellaceae,g__Gemella,s__bergeri
a2fb18a43c20cb68c9dfb29bb688a425,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__sp._HMT_442
e4d5b3529f49a62c649e8b318205aff1,k__Bacteria,p__Firmicutes,c__Mollicutes,o__Mollicutes_[O-1],f__Mollicutes_[F-1],g__Mollicutes_[G-1],s__[G-1]_bacterium_HMT_504
c6d4d3a0c69dfc8cc2d1252d4f80d14a,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__tannerae
70b3da3c957737c8dcebd9f2b5a27f06,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__maculosa
4d8707d39628dfcad4e5afe36193572f,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__atypica
6cc776e91594b15ac5420cf671691d83,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__dianae
5c896288369b2a7fa7a1449e6ac9929a,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified
276600290dc10873da48ea5479229c73,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,s__sp._HMT_362
405f9f893618d69359b144b839207a6d,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__bacilliformis
668e1f268b86f7bb60e86d0f78555149,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__socranskii
3702de442123496a07a21b9cf8f226af,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__unclassified
1ae2d0c6d49e7a441217702557390f87,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__socranskii
5d36e8f38dca84c70b7e2d7d6e157b51,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__catoniae
